ID,Section,Attendance Tuesday 10/22 (129872),Attendance Thursday 10/24 (129873),Module 1 Homework (123478),Module 2 Homework (123480),Module 3 Homework (123482),Module 4 Homework (123485),Module 5 Homework (123488),ABET Outcomes  (139212),Module 1 Reading (123479),Module 2 Reading (123481),Module 3 Reading 1 (123483),Module 3 Reading 2 (123484),Module 4 Reading 1 (123486),Module 4 Reading 2 (123487),Module 5 Reading (123489),Quiz Sheet Mod 1 and 2 (123496),Quiz Score Check-In 2 (128282),Exam 1 Written (128882),Exam 1 SQL (128883),Midterm Cheat Sheet (123477),DB Design Project (123475),final exam bonuses (130521),Extensions Bonus survey (132460),Final Exam Cheat Sheet (123476),Final Exam (Submit here) (133311),Reading Extension #1 (123497),Reading Extension #2 (123498),Homework Extension #1 (123494),Homework Extension #2 (123495),Homework Current Score,Homework Unposted Current Score,Homework Final Score,Homework Unposted Final Score,Readings Current Score,Readings Unposted Current Score,Readings Final Score,Readings Unposted Final Score,Quiz Sheet Submissions Current Score,Quiz Sheet Submissions Unposted Current Score,Quiz Sheet Submissions Final Score,Quiz Sheet Submissions Unposted Final Score,Midterm Current Score,Midterm Unposted Current Score,Midterm Final Score,Midterm Unposted Final Score,Database Design Project Current Score,Database Design Project Unposted Current Score,Database Design Project Final Score,Database Design Project Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Attendance and Participation Current Score,Attendance and Participation Unposted Current Score,Attendance and Participation Final Score,Attendance and Participation Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,20,20,150,160,150,150,130,0,100,100,100,100,100,100,100,100,100,127,100,10,70,0,0,0,100,1,1,1,1,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
PERAR,DB & Inform Processing System,20,20,150,160,150,150,130,,100,100,100,100,100,100,100,90,100,132,55,,70,,3,10,40,1,,1,,100,100,100,100,100,100,100,100,95,95,95,95,82.38,82.38,78.9,78.9,100,100,100,100,53,53,53,53,,,,,100,100,50,50,85.08,85.08,84.31,84.31
CHRBA,DB & Inform Processing System,20,20,150,160,150,150,130,,100,100,100,100,100,100,100,100,100,115,78,,70,,0,0,67,1,,1,1,100,100,100,100,100,100,100,100,100,100,100,100,85.02,85.02,81.43,81.43,100,100,100,100,67,67,67,67,,,,,100,100,75,75,89.34,89.34,88.54,88.54
BONBE,DB & Inform Processing System,20,0,150,160,150,150,130,,100,100,100,100,100,100,100,100,100,132,70,,70,,3,10,102,1,,1,,97.44,97.44,97.44,97.44,100,100,100,100,100,100,100,100,88.99,88.99,85.23,85.23,100,100,100,100,115,115,115,115,,,,,100,100,50,50,100.46,100.46,99.62,99.62
GRTBY,DB & Inform Processing System,20,20,150,160,60,150,130,,0,100,100,40,100,100,100,100,100,100,73,,70,,0,10,82,1,,1,1,88.46,88.46,88.46,88.46,77.14,77.14,77.14,77.14,100,100,100,100,76.21,76.21,73,73,100,100,100,100,92,92,92,92,,,,,100,100,75,75,88.47,88.47,87.76,87.76
MIMGR,DB & Inform Processing System,20,20,150,160,150,150,130,,100,100,100,100,100,100,100,50,100,102,67,,70,,0,10,69,,,1,1,100,100,100,100,100,100,100,100,75,75,75,75,74.45,74.45,71.31,71.31,100,100,100,100,79,79,79,79,,,,,100,100,50,50,86.88,86.88,86.18,86.18
JUNJA,DB & Inform Processing System,20,20,150,165,165,150,130,,100,100,100,100,100,100,100,100,100,117,100,,70,,3,10,87,,,,,102.56,102.56,102.56,102.56,100,100,100,100,100,100,100,100,95.59,95.59,91.56,91.56,100,100,100,100,100,100,100,100,,,,,,,0,0,99.45,99.45,98.55,98.55
NOHKE,DB & Inform Processing System,20,20,150,175,150,205,130,,100,100,100,100,100,100,100,100,90,114.5,65,15,80,,3,10,107,,,,,108.97,108.97,108.97,108.97,100,100,100,100,95,95,95,95,82.07,82.07,82.07,82.07,114.29,114.29,114.29,114.29,120,120,120,120,,,,,,,0,0,103.78,103.78,103.78,103.78
DAYKU,DB & Inform Processing System,20,20,150,165,180,150,130,,100,100,100,100,100,100,100,100,90,127,57,,70,,0,10,87,,,,,104.49,104.49,104.49,104.49,100,100,100,100,95,95,95,95,81.06,81.06,77.64,77.64,100,100,100,100,97,97,97,97,,,,,,,0,0,95.32,95.32,94.56,94.56
JOENO,DB & Inform Processing System,20,20,150,160,150,150,130,,100,100,100,100,100,100,100,100,90,118,38,,70,,3,0,92,,,,,100,100,100,100,100,100,100,100,95,95,95,95,68.72,68.72,65.82,65.82,100,100,100,100,95,95,95,95,,,,,,,0,0,91.38,91.38,90.74,90.74
